metabolite	EIO1-r1	EIO1-r2	EIO1-r3	EIO2-r1	EIO2-r2	EIO2-r3	EIO3-r1	EIO3-r2	EIO3-r3	DNO1-r1	DNO1-r2	DNO1-r3	DNO2-r1	DNO2-r2	DNO2-r3	DNO3-r1	DNO3-r2	DNO3-r3	EIC1-r1	EIC1-r2	EIC1-r3	EIC2-r1	EIC2-r2	EIC2-r3	EIC3-r1	EIC3-r2	EIC3-r3	DNC1-r1	DNC1-r2	DNC1-r3	DNC2-r1	DNC2-r2	DNC2-r3	DNC3-r1	DNC3-r2	DNC3-r3
Glucose	76.6	41.5	44.5	104.3	38.1	244.9	67.9	31.9	44.6	38.6	44.1	195.8	159.2	159.2	102.8	231	43.6	390.6	96.1	77.4	52.7	107.2	124.7	132.2	12	178.8	71.7	71.3	58.8	104.6	200.9	119.5	64.4	285.6	162.6	329.4
Ethylene glycol	107.1	107.1	94	108	85.8	152.4	53.2	81.8	90.6	164.1	117.9	95.1	118.9	118.2	118.2	86.4	118.9	146.4	53.4	70.9	106	95.2	70.9	46.8	101.7	114.7	124.3	126.5	102.6	81.1	76.4	134.3	107	112.9	138.4	154
Acetate	64.7	61.8	111.4	35.9	207	115.8	18.8	17.3	22.6	291.8	161.9	86	122	137.9	72.2	38.3	69.5	229.1	3.3	20.3	33	7.2	5.7	7.7	49.7	37.6	31.5	94.8	65.8	35.7	174.7	50	127.2	25.3	96.2	161.8
Suberate	37.6	31.7	5.7	20	51.4	24.6	8.4	29.3	35.5	110.4	107.4	137.8	125.3	140	30.9	23.4	49.1	90.7	23.8	18.5	50.8	19.4	31.2	17.3	24.3	17.4	25	43.7	43.1	22.5	127	10.7	43.1	60.3	27.1	114.4
Glutamate	19.9	10	11.3	16	43	43	8.7	5.6	5.8	78.3	25.6	42.2	45.6	45.6	41.4	34.3	16	121.7	2.1	6.3	10.5	7.8	6.8	11.2	6.5	18.1	11.3	39.8	15.5	15.5	79.7	20.5	37	25.8	36.9	87.9
Galactose	31	11.9	8.2	17.9	17.9	90.1	22.4	6.3	8.4	41.4	24.3	61.9	53.1	48	30.7	30.4	5.7	163.7	2.6	5	9.3	12.2	5.7	14.4	5.2	21	13.8	12	12.9	12.7	43	24.1	16.4	42.7	19.8	105.8
Formate	16	17.1	14	8.4	33.9	32.9	11.1	8.2	9.8	91.2	16.7	52.9	41.5	51.3	40.4	20.1	10.8	44.1	-5.2	8.7	21.4	1.9	-1.4	7.2	15	19.2	21.3	30.9	16.9	16	108.1	26.2	24.1	20	51.7	62.2
Glycerol	16.4	16.4	16.4	10.4	20.4	20.4	10.3	10.3	15.4	21.1	21.1	31.3	16.9	16.9	16.9	16.9	22.4	41.6	16.3	16.3	21.8	3.9	19.6	18.8	24.4	28.7	18.3	27.8	24.8	24.8	40.8	25.8	26	38.4	37.3	37.3
Adipate	26.5	15.7	0.6	24.1	1.8	3.1	6.2	33.2	35.7	3	15.9	32.7	24.2	17.5	6.1	5.9	14.2	7.1	31.5	24.2	46.4	27.5	48.6	19.5	10.5	16.2	28	3.3	28.2	24	1.4	10.7	7.1	81.9	16.5	36.7
Malonate	33.1	47.7	36.5	26	11.7	20	28.1	28.6	26.8	12	20.3	19.3	27.1	26.9	17.5	21.9	14.1	20.5	12.5	3.8	4.6	16.2	4.1	30.6	24.3	21.1	6.8	6	12.4	2.6	18	11.4	13.2	8.5	6	18.9
Alanine	15.7	4.7	3.8	8.1	15.9	26	5.6	1.9	1.9	24.9	18	43.5	26	37.9	24.8	17.8	13.7	68.6	1.8	2.6	4.8	2.9	2.6	3.7	2.3	6.3	3.9	26.8	8.9	7.3	38	12.8	20	17.9	30.9	37.2
Fucose	21.6	13.7	6.8	14.9	19.5	20.2	10.2	11.7	11.7	15.3	15	12.3	32.7	26.5	16.2	12.5	12.5	23.8	3.8	5	4	34.3	4.8	9.8	4	5.8	8.5	6.7	6.7	6.7	30	12.7	22.4	11.5	9.9	47.6
Fructose	13.5	11.2	19	19.6	16	16	11.2	7.8	13.5	24.6	7.5	14.9	24.6	24.6	12.3	23.2	5.9	43.4	6.1	14.7	4.4	19.3	12.1	13.3	3.9	7.4	4.8	7.9	7	4.6	30.1	7.1	7.8	7.1	10	25
Pimelate	13.7	11	2.3	9.4	11.2	7.3	3	6	7.9	30.7	30.7	30.7	30.7	31	10.7	7.9	10.5	13.1	5	7.1	16.1	7.1	12.4	6.5	10.2	4.7	8	9	9	6.9	36.6	8.5	11.7	19.3	11.5	40.7
Valine	10.9	3.4	2.3	5	21.4	16.8	3.4	1.1	1	37.7	15	29.7	23.8	32.9	17.3	10.5	9.9	51.5	0.9	1.9	3.6	2	1.8	2.3	1.4	4.6	4.2	20.2	6.1	4.8	48.2	8.3	18.1	12.2	22.5	26.3
3-Hydroxybutyrate	9.8	6.5	6.9	5.4	10.8	25.8	2.1	2.2	3.2	20.9	3.8	10.1	26.4	37.1	10.4	7	9.9	95.8	0.4	0.4	2.1	8.8	0.8	3.2	1.7	3.1	1.8	5.3	2.8	2.8	29.3	12.5	23.1	4.9	6.1	55.9
Mannitol	5.9	5.9	5.8	5.8	32.5	18.6	5.8	2.7	2.7	9	3.2	3.7	24	24	18.5	24	8.1	20.8	6	8.5	4	6.7	6.2	6.2	3.3	10.7	10.5	7.4	6.2	6.2	7.4	7.4	8	27.1	34.6	32.6
Betaine	7.4	4.2	7.3	8.2	14.5	12.2	10.8	5.1	8	9.5	7.4	15.1	7.2	7.5	10.7	17.3	4	19	14	11.9	5.6	19.3	13.1	14.1	2.8	12.1	14.7	9.8	4	9.9	19.2	6.2	6.2	19	17.6	14.9
Glycine	8.1	2.3	2.3	5	1.3	14.5	3.9	3.9	1	25.6	10	24.5	19.1	23	7.8	7.8	5.8	44.6	0.4	0.6	0.6	0	0.6	0.9	0	3.4	1.2	12.2	3.1	3.2	27.2	3.1	14	6.7	14.3	17.1
sn-Glycero-3-phosphocholine	8.8	7.1	7.4	7.8	12.1	9.8	6.8	6.3	6	6.2	6.4	13.2	7.9	8.9	8.4	11	6.3	13.3	4.7	4.1	3.4	7.2	7.1	7.3	5.2	6.9	3.3	5.2	3.8	4.3	7.9	6.5	6	13	7	13.4
