metabolite	DNC1-r1	DNC1-r2	DNC1-r3	DNC2-r1	DNC2-r2	DNC2-r3	DNC3-r1	DNC3-r2	DNC3-r3	DNO1-r1	DNO1-r2	DNO1-r3	DNO2-r1	DNO2-r2	DNO2-r3	DNO3-r1	DNO3-r2	DNO3-r3	EIC1-r1	EIC1-r2	EIC1-r3	EIC2-r1	EIC2-r2	EIC2-r3	EIC3-r1	EIC3-r2	EIC3-r3	EIO1-r1	EIO1-r2	EIO1-r3	EIO2-r1	EIO2-r2	EIO2-r3	EIO3-r1	EIO3-r2	EIO3-r3
Glucose	920.3	1292.9	424	598.6	519.8	688.5	850.3	1051.1	600.2	320.4	640.4	915.2	491.9	402.7	600.2	162.8	643.5	745.3	773.3	538.6	630	357.6	331	675.5	225.7	303.2	189.8	1239.3	216.8	830.5	564.8	211.3	331.1	1290.8	233.6	597.7
Fructose	1011	1784.8	479.4	507.4	312.1	887.1	652.9	990.1	511.9	232.7	663.9	1063	471.8	309.2	771.9	38.6	627.5	709	610.9	537.3	591.7	368.7	338.6	624.9	182	263.2	97.3	1244.9	294.6	804	647.9	179.6	312.7	1175.2	98.7	375.1
Betaine	98.2	444.2	278.1	73.7	67.3	150.4	85.9	285	230.8	94.2	137.7	54.5	76.3	82.5	94	48	225.1	109.6	184.2	126.1	269.4	128.1	123.8	117.3	35.6	339	104.8	233.9	82.1	144.9	97	47.1	125.7	146.4	75.6	94.6
Acetate	218.3	380.9	136.4	142	205.2	114.6	255.4	269.7	53.2	175.9	91.5	83.4	182.1	215.7	136.4	234.3	57.4	142.6	51.6	41.5	98.4	47.1	62.7	68.5	34	114.2	19.7	129	57.9	69.4	144.7	112.3	63.5	141.1	59.3	83.3
Mannitol	229.3	160.5	127.4	127.4	146.3	127.4	150.6	148.3	92.8	118.4	165.4	141	98.7	96.5	171.7	431.2	118.4	118.4	45.9	45.9	45.9	45.9	28.6	45.9	30.5	35.4	21.3	24.7	31.9	0	31.9	44.4	18.7	31.9	44.4	41.4
Sucrose	277.5	84.8	84.8	66.5	30.6	255.9	105.5	10.7	79.8	63.1	114.9	182.2	82.6	17.5	17.5	3.5	159.4	59	193.4	29.7	55.7	412.7	5.2	14.3	3.4	257.1	1.7	91	3.4	1.6	10.8	31.8	1.2	186	1.6	149.2
Xylose	133.6	304.7	139	73.7	223.2	19.8	363.9	251.9	76.2	31	71.9	37.7	76	36.7	14.1	76.3	40.2	94.8	12	14.1	0	17.1	32.3	11.6	5.7	13.4	4.1	16.8	16.8	2.1	22.8	24.2	24.2	18.8	28.5	21.4
Ethylene glycol	57.5	57.5	57.5	57.5	6.6	57.5	6.6	10.9	10.9	54.5	53.5	53.5	60.5	51.6	51.6	56.6	56.3	57.5	57	57	57	32.5	32.5	3.2	3.8	107.7	2.3	53.2	4.1	4.6	49.3	25.8	25	49.3	25.8	61.9
Glutamate	35.5	58.1	46.1	46.1	37.4	57.7	37.4	55.7	55.7	28.2	30.9	29.3	43.2	37.5	61.3	57.2	28.6	40.6	41.2	28.5	60.8	13.9	20.8	22.1	6.2	71.1	13.4	41.2	42.2	42.2	42.2	37	30.1	57.3	15.1	30.7
Serine	38.1	50.4	50.4	50.4	25.2	50.4	25.2	25.2	25.2	35.7	35.7	13.2	36.1	38.7	35.7	38.1	38.1	38.1	16.5	7	16.5	7	7	7	1.5	1.5	1.5	16.5	16.5	16.5	16.2	16.2	16.2	26.2	10.8	19.4
Alanine	22.7	41.9	29.5	29.5	23.3	47.2	22.3	27.7	16.3	19.3	30.1	21	24.6	24.6	33.5	29.7	19.6	28.2	18.5	11.4	19.6	16.1	16.1	12.6	5.8	36.6	10.3	41.7	18.5	22.6	22	21.8	12.1	49.8	9.6	21.7
Formate	32.9	10.9	31.6	18.7	30.4	86.9	4.1	38.6	24.6	39	44.7	16	20.5	20.5	11.2	35	13.2	17.5	10.6	23	17.1	8.9	22.2	16.6	25.2	5.5	16.1	6.4	55.2	31	12.8	25.4	19.9	9.9	13.8	15.9
4-Aminobutyrate	14.6	26.9	13.2	18.3	23.5	26.9	23.5	19.3	16.8	11.8	20.8	20.8	14.2	11.2	17.6	8.7	30.9	30.9	24.8	14.8	17.7	18.7	18.7	19.3	6.3	24.9	12.5	46.8	17.7	20.7	17.2	21	9.7	70.1	10.4	21.1
Asparagine	6	0	0	9.6	0	4.7	6.7	0	0.9	3.8	8.5	3.2	3.3	0	0	9.8	22.6	9.9	65.1	0	77.1	61.7	27	32.4	18.3	75.8	39.8	51.5	32.6	34.5	32.6	25.5	4.1	0	5.6	67.1
Maltose	12.6	7.7	9.4	11.4	5.2	37.4	20.6	4.1	9.8	0	28.4	46.3	64.7	15.6	15.6	4	147.3	5.7	18.8	3.4	12.2	12.9	4.1	4.2	1.6	7	0	13.6	3.1	5.1	2.3	3.8	2.4	37.2	3.4	4.4
Valine	12.9	24.6	24.6	19.6	14.1	30.4	13.9	19.3	12.1	14.8	13.6	11.9	16.6	8.7	18.9	16.2	13	17.2	12.4	8.3	15.4	9.6	9.6	8.1	4.4	14.7	4.3	21.1	12.7	13.7	18.2	13.9	9.1	26.6	6.9	13.3
Aspartate	4.3	5.3	35.7	34.8	2.4	43.8	37.4	33.2	8.6	12.8	24.3	7.6	24.3	17.2	27.6	27.4	26.3	26	6.5	6.5	0	1.9	1.9	1.9	2.3	5.9	3.8	6.5	5.1	6.5	7.2	21.2	10.6	7.2	0.7	1.1
Glutamine	4.3	7.9	14.3	12.7	4.8	3.8	4.8	14.2	6.8	1.3	11	11	11	3.6	16.4	0	11.6	7.8	8.6	0	19.6	9.1	9.1	5	4.2	17.9	4.1	23	23	16.6	23	12.6	2.2	25.7	5.7	45.8
Malate	0	3.5	4.1	16.7	2.3	12.1	2.3	2.4	3.3	1.9	7.8	4.1	19.9	20.1	70	18.7	12.9	13.6	4.5	0	4.5	2.7	2.5	2.7	0	11.7	0	13.1	10.9	10.7	10.6	90.1	6.6	19.3	0	9.5
Leucine	12.6	19.9	19.9	17	11.1	28.6	12.2	18.1	3.8	13.4	11.8	8	12.1	3.1	14.5	17.5	10.2	14.1	7.5	3.8	8	4.9	7.6	4.1	3.5	7.2	2.4	13.5	9	7	12.2	12.1	3.9	17.4	4	7.5
Glycolate	20.8	11.4	9.8	9.2	6.2	67.2	6.2	6.2	6.2	11.2	11.2	36.7	11.2	13.9	13.9	5.1	7.1	6.2	6.4	3.6	31.6	3.6	3.6	3.6	0.8	1.7	1.7	6.4	6.4	4.4	6.4	6.4	2.2	6.8	6.4	6.8
Lactate	14.1	20.6	17.4	15.1	8.5	20.1	9.4	14.6	8.6	12.7	13.3	11.8	13.3	12.7	13.4	12.1	11.9	18.2	4.5	5.1	6.3	5	4.8	3.5	2.4	2.8	2.6	7.2	7.6	5.3	7.1	2.5	3.1	7.8	2.1	4.9
Isoleucine	7.4	12.7	12.7	11.2	8.6	18.2	7.9	8.8	6.8	8.2	8.3	7.1	10	5.1	11.2	12.3	5.9	10.1	7.4	3.7	7.2	4.5	5.5	4.4	2.3	5.8	1.7	11.3	7	7	9.3	9.3	4.8	16.4	4.2	6.6
Citrate	5.8	25	9.9	9.9	3.7	9.4	6.2	6.5	8.3	2.9	6	9.9	10.1	5.2	9.1	0	0	8.8	3.7	15	16.3	4.8	4.8	4.3	3.3	16.1	4.8	12.9	8.7	6.5	14.2	14.2	8.1	28.5	0.7	1.2
Choline	0.8	0.8	0.8	1.5	1.5	6.7	1.5	1.5	6.7	2.5	2.5	2.5	1.7	2.6	2.6	0.8	19.4	0.8	13.3	13.3	4.6	4.4	4.4	2.6	0.6	5.5	1.5	7	7	6.8	7	3.3	2.5	8.4	4.7	5.1
Vanillate	5.9	6.5	0	3.9	7.1	0.8	5.1	6.4	2.2	2.4	3.9	3.4	4	5.6	0	1.3	4.8	6.6	8.3	4.6	11.2	6.2	2.8	7.9	0	7.1	4.8	12.3	0	1.5	0.7	0	3.1	4.2	2.4	4.1
Tyrosine	5.4	5.4	5.4	5.7	4.8	11.3	4.8	8	5.2	4.4	4.4	3.3	4.4	4.4	4.4	4.4	5.8	7.2	3.1	2.8	3.1	2.9	2.9	3.2	1	2.4	2.4	3.8	2.4	1.1	2.9	1.6	1.6	3.4	1.6	2.1
4-Hydroxybenzoate	3.5	12	10	4.9	4.6	4.2	5.2	9.7	4.8	5.6	4.5	5.9	5	7	8.2	0	5.1	5.6	2.1	2.5	2.8	1.7	1.3	3	0.4	2.7	2.1	3.2	0.7	1.1	2.5	0	1.5	4	1.9	1.8
Caprylate	6.7	4.5	4.5	4.5	4.5	4.5	3.5	4	4	7.3	7.3	4.2	7.3	7.3	7.3	6.7	6.7	6.7	2.8	2.8	2.8	0	2.8	0	0	0	0	2.8	2.8	4.3	2.8	2.8	2.8	2.8	2.7	2.8
