NMR_weight,RPPOS_mz,RPNEG_mz,HPOS_mz,HNEG_mz,FTICR_NeutralMass
180.1559,146.09215,187.13326,279.2309,313.23772,148.8038855
62.0678,130.04972,243.15988,315.25166,147.01137,148.8273442
60.052,132.10176,297.24248,146.09179,149.06001,149.4640585
174.1944,204.12268,177.03962,147.07584,157.03588,149.4765545
147.1293,136.06151,217.10758,204.12226,187.09685,149.4890075
180.1559,131.1289,169.12254,136.06131,121.02886,149.8710925
46.0254,203.13899,157.03575,118.08572,242.07806,150.0152045
92.0938,187.10748,187.09674,244.09182,266.08941,150.031684
146.1412,171.1014,266.08938,268.1029,227.06697,150.0524585
104.0615,118.08607,193.03463,134.04436,132.02949,150.0527926
89.0932,112.05049,195.05049,162.11171,146.04508,150.0531315
164.1565,268.10355,132.02951,148.0597,130.08657,150.0640305
180.1559,90.0549,146.04502,132.10139,164.07087,150.0673598
160.1678,162.11216,227.12845,166.08563,114.05541,150.0677042
117.1463,148.06011,135.02916,116.07022,104.03477,150.0680678
104.1045,150.05805,285.20673,106.04957,116.07107,150.068203
182.1718,166.08609,159.10181,143.08097,135.02915,150.0684185
117.1463,116.0706,144.04467,152.05608,105.01874,150.1615155
75.0666,106.04978,218.10279,284.09772,282.08391,150.1742505
258.2292,182.08114,159.06542,120.06511,144.04464,151.0480918
131.1729,261.14439,165.03925,245.185,267.07348,151.0494245
102.1317,247.12872,173.08148,229.15389,115.07581,151.0500895
119.1192,173.09183,181.0711,124.03902,201.12396,151.051244
184.1507,152.05644,387.11296,235.16404,227.20135,151.0633321
133.1027,284.09848,215.03218,527.15639,130.05027,151.0710865
131.1729,112.08673,303.21671,138.05454,160.06074,151.0714503
342.2965,137.04563,358.2584,299.25691,157.12254,151.0717865
180.1559,146.05996,267.0722,146.11701,281.24812,151.0844641
130.1418,203.13892,158.08151,168.10138,101.06024,151.8935565
90.0779,229.15439,117.01874,146.11698,159.06548,151.893928
76.0944,124.03926,287.08776,190.11785,173.08113,151.8942878
342.2965,235.16479,151.02527,118.06474,117.01871,152.0109695
88.1051,157.08585,185.08119,247.12787,401.129,152.033443
242.2286,365.10478,299.18536,175.10704,181.07105,152.0348955
130.1418,243.09745,229.10772,189.12272,179.05545,152.0352599
104.1708,127.05019,168.03285,176.09113,243.0619,152.0356095
112.0868,113.03451,249.14956,173.09147,151.02534,152.0469522
74.0785,215.13877,201.11254,138.09086,117.05509,152.0473492
102.0886,217.1546,251.07834,247.12787,129.05502,152.0629186
165.1891,153.04043,259.01235,158.1533,217.10754,152.0684572
244.2014,211.13281,313.23748,293.21004,103.03948,152.0793335
118.088,236.14923,313.23763,415.20958,145.01348,152.0796878
152.1109,146.11728,313.23768,114.09102,115.03946,152.0800635
146.1412,146.08092,313.23761,104.10657,285.20686,152.083734
134.0874,160.0967,313.23765,361.22075,155.00907,153.0188685
192.1235,162.07577,295.2268,532.43782,168.03278,153.0192767
122.1213,244.09239,229.14409,144.10113,197.01205,153.0196449
103.1198,134.04461,265.14774,445.11853,249.1494,153.0425982
,143.08127,295.22684,338.34047,188.0922,153.0789745
,104.07053,311.22196,295.22572,168.98048,153.5346185
,120.06532,311.22191,158.11697,325.18269,153.8905951
,175.10751,311.22186,150.11183,128.03463,153.890971
,189.12312,311.2218,311.22043,141.02982,153.8913392
,220.11792,98.94857,182.11684,143.10694,153.8918965
,130.08613,87.00818,216.12208,82.95367,154.022635
,139.07524,96.95954,231.13316,259.01283,154.026215
,311.22105,138.96993,202.14278,313.23777,154.0266072
,308.22168,329.232,246.14385,265.14788,154.0269666
,158.1537,333.05836,230.13776,297.24265,154.0323126
,125.05972,180.97236,275.17032,297.24268,154.0509198
,151.07529,429.12393,242.13771,311.22192,154.0630081
,151.11168,516.81861,212.16367,152.9951,154.0993714
,245.13834,277.05899,244.1533,269.2123,154.1106215
,337.2347,198.11311,240.19496,293.17901,155.0159551
,415.21126,200.12871,269.13736,165.01852,155.0163376
,114.09129,216.12373,266.21042,201.11255,155.0167025
,104.10684,212.12891,282.20529,138.96989,155.0214465
,184.06362,231.12341,268.22596,96.95941,155.0218707
,361.2219,214.14453,299.23171,329.23206,155.0299736
,316.28417,421.06442,288.25204,158.08143,155.0344433
,326.37789,226.14474,292.22596,212.09248,155.0349254
,279.23174,242.13971,324.21545,200.12864,155.0526151
,315.2528,228.16031,278.2468,216.1237,155.0582399
,144.10158,242.17614,294.24165,309.17346,155.0694825
,295.22676,311.22217,310.2363,131.00909,155.0708311
,297.24227,539.13875,296.25709,117.01873,155.0946275
,297.24219,552.85867,296.25718,113.02384,155.7572225
,295.22644,245.04301,330.26237,128.03462,155.8880178
,299.25785,217.04735,316.2831,161.04483,155.9399898
,209.126,256.05889,316.28314,193.03483,155.9403808
,281.24743,400.90814,654.32898,158.08141,155.9405305
,313.23691,484.8705,130.0494,202.108,155.9407758
,185.11722,418.89334,160.10753,202.10796,156.0054425
,205.09723,184.09735,110.09609,165.03999,156.0058819
,399.25053,202.10794,139.07483,441.20241,156.0063115
,168.13824,202.10804,124.11167,98.9485,156.0189412
,186.14884,216.90892,173.12781,473.28219,156.0240658
,213.11211,386.93779,189.12253,485.2822,156.0301825
,212.12807,130.98289,205.11752,339.1977,156.0418401
,214.14375,158.97774,160.13259,213.01477,156.0422688
,230.13869,159.97853,160.13262,212.01949,156.0479665
,232.15406,516.89723,153.09034,277.14408,156.0535035
,227.12771,160.97525,152.10634,311.16777,156.0604525
,244.1543,402.91561,186.1118,162.90205,156.0665515
,212.16445,272.95896,186.1119,297.15211,156.0782339
,255.12252,114.98805,172.13253,321.17276,156.0786345
,241.14327,532.87518,188.12722,618.47486,156.0789975
,244.19062,288.93608,218.14913,82.96217,156.0898837
,269.13814,174.95536,475.29594,223.02778,156.1146175
,269.13814,290.93367,504.32235,98.94839,156.1150389
,287.14877,304.91319,620.48999,313.07771,156.1635685
,241.17969,244.96373,758.21811,297.04628,156.546389
,224.20081,356.92258,684.19964,239.05932,156.5645745
,277.1433,226.96567,631.11049,82.9452,156.5920915
,282.2062,294.95247,684.19995,239.12855,156.6191435
,252.23199,362.93915,610.1817,82.9783,157.01418
,268.22701,310.92635,610.18186,211.13337,157.0213281
,284.22191,384.934,663.45076,110.97502,157.0318955
,287.22153,452.92223,554.17392,303.1441,157.031978
,308.22194,316.94658,371.09991,185.11756,157.0375177
,308.22172,248.96027,223.06291,269.13118,157.0496525
,295.22675,468.8965,297.0814,267.1966,157.0501043
,294.24266,568.82919,399.1764,303.14429,157.050185
,310.23748,332.92064,430.24195,293.17566,157.0505747
,310.23738,416.88212,259.15311,283.19119,157.0509405
,296.25828,500.84438,406.24199,173.11751,157.0617785
,312.25311,584.80311,305.17364,327.21643,157.0682705
,159.07611,264.93435,318.18998,253.14447,157.0738984
,110.09635,348.89387,305.15838,289.14432,157.0851186
,120.08077,432.85626,316.11661,343.21071,157.5542125
,154.12254,280.90788,599.38649,341.19497,157.6269828
,187.14408,196.94634,281.13722,230.91437,158.010981
,170.11722,364.86809,119.08519,243.89898,158.0191218
,172.13315,448.83053,242.21052,211.94603,158.0215232
,204.12307,616.75164,251.19961,209.94849,158.0291429
,174.14884,532.79296,298.23644,196.01056,158.0327695
,145.03433,600.77743,316.21043,140.98557,158.0345908
,110.00852,128.95887,105.06959,267.19667,158.039716
,101.02504,296.88142,270.24161,269.2123,158.0458203
,110.00854,380.8423,297.13214,129.05505,158.0574901
,151.03491,464.8048,267.19452,129.09137,158.0578994
,111.00934,212.92052,291.19444,99.00826,158.0582745
,123.04017,549.16779,305.15829,311.22213,158.0636015
,84.95961,102.95634,308.22074,95.02459,158.0691458
,100.02419,387.11329,91.05395,173.11759,158.0938815
,102.02178,113.02381,314.26756,315.25273,158.0942918
,239.96618,357.10205,169.12169,196.01059,158.094687
,112.00606,108.90136,297.24132,170.99617,158.129859
,125.03776,92.92753,328.24663,287.22254,158.1302582
,153.03243,226.07534,269.21015,125.03495,158.1305256
,110.00854,160.8413,81.06964,331.24781,158.1306768
,151.03493,228.05452,109.10087,126.903,158.1308265
,241.99914,297.08151,313.23603,111.0194,158.1310763
,265.01508,236.07687,332.27792,183.99939,158.870298
,129.97895,218.02539,346.2208,241.08275,158.9410925
,143.99653,377.08415,155.10606,277.0592,159.0187955
,102.0337,263.04366,302.23133,263.04383,159.0298065
,97.9912,327.02184,342.22592,159.10187,159.0369718
,218.98335,279.0383,344.24151,138.98119,159.0476316
,167.01247,215.03208,485.35577,214.14445,159.0531593
,239.96614,134.89398,186.14829,279.03833,159.0612715
,84.95958,82.95374,309.20475,242.0701,159.0643825
,140.96147,255.06211,226.14296,229.99843,159.0891137
,214.91719,232.11865,346.25711,186.11277,159.0895451
,129.02224,172.09719,360.23633,186.11281,159.0899514
,216.95028,260.15027,95.08524,160.97517,159.0976555
,280.99267,129.05487,291.15801,198.11296,159.1336295
,181.98788,214.10814,314.23129,110.97516,159.1338825
,112.96658,228.12387,172.13253,240.12389,159.1340451
,255.94366,203.09192,227.17439,229.99873,159.1344305
,236.0793,216.12374,330.26228,279.014,159.5943115
,394.87378,230.1395,328.24668,163.00628,159.8535895
,90.97656,254.1008,311.22024,215.0728,159.8539993
,310.91237,186.11284,313.23587,99.00827,159.8543975
,478.83511,286.03843,314.26749,246.13452,159.985841
,378.89995,395.21498,332.27794,249.00377,159.9927315
,174.93782,226.10805,429.18811,122.02411,160.0084125
,198.12349,288.14524,344.24144,215.09208,160.0266075
,326.88639,247.11846,304.2469,226.10823,160.0371822
,242.92504,273.00683,142.12212,218.10298,160.0428575
,410.84761,111.0808,138.09091,133.04993,160.0448107
,258.89894,195.06304,358.36607,95.97546,160.0484005
,426.82169,230.13931,97.03937,232.11872,160.0524415
,494.80899,261.13401,86.0598,112.99879,160.0731294
,510.78309,213.07618,244.22605,159.00406,160.073411
,190.91172,261.13422,195.12211,231.13474,160.0735673
,342.86027,228.12391,130.08585,215.12835,160.0737195
,274.87282,242.13974,170.11693,119.03432,160.0739768
,358.83416,239.08953,202.1792,177.0398,160.0847853
,122.92438,201.11266,198.148,181.0136,160.0928947
,290.84673,215.0918,172.2052,198.98793,160.1095121
,206.88565,240.12395,184.06299,230.13939,160.1097905
,200.06815,229.10761,142.12201,207.00763,160.109948
,266.05334,268.11673,188.1272,258.13453,160.1101035
,158.03999,343.13804,154.12201,240.12397,160.11036
,274.10461,214.10829,302.1949,200.09235,160.542426
,156.04183,227.09182,302.19488,144.02945,160.8520135
,227.07884,287.02209,228.12225,214.10807,160.8524278
,381.0787,125.09638,231.16942,245.13912,160.8528375
,219.02621,397.18298,267.13277,146.04513,160.9380035
,206.02437,428.11286,204.12219,232.11875,161.0162535
,112.89568,209.0788,174.11172,241.1079,161.0238845
,203.05228,243.12346,128.10656,172.09722,161.0324212
,220.04005,231.12338,203.13821,158.04505,161.034434
,134.11738,211.09706,105.06958,211.02437,161.047685
,222.01931,145.08626,200.16392,201.07631,161.0526303
,168.06859,212.12903,188.20029,182.0313,161.0688125
,174.08712,243.12346,130.15868,255.0621,161.0769215
,182.08435,221.07891,204.19514,240.0909,161.0800285
,236.14877,155.10692,182.18971,241.04636,161.1133071
,158.1173,199.09696,182.084,158.08145,161.3112095
,217.11789,512.33423,168.0683,241.97967,161.5385865
,202.17982,241.10769,316.17446,241.10793,161.5668635
,246.18673,223.09456,134.11703,176.05575,161.8484763
,190.10718,355.22234,251.19523,371.13507,161.8488984
,218.1747,526.35013,261.17945,369.11945,161.8491615
,213.12301,374.25365,176.13854,367.10376,161.8493212
,246.20593,225.11291,203.05183,308.09802,161.8497239
,302.19574,213.11271,183.06185,215.03235,161.850281
,360.20143,213.11275,246.14385,241.97971,161.8510509
,402.21218,215.12823,116.10673,249.06139,161.9042185
,316.21175,237.11025,258.16907,203.0919,161.9802615
,174.0873,372.23794,276.10012,261.13422,161.9897835
,261.14417,215.12879,258.169,154.96481,162.0154725
,202.17996,372.23797,162.11181,164.98552,162.0164268
,152.05639,309.10076,248.1594,166.96481,162.019614
,282.08289,356.2059,226.07346,247.12976,162.0240649
,86.09637,328.21192,232.16464,128.03463,162.0316913
,190.10719,173.11754,236.14813,152.98554,162.0422668
,302.19612,328.21202,424.26314,210.00734,162.042938
,186.1123,259.19125,377.23758,421.0649,162.05237
,186.11236,285.20666,247.17523,157.06099,162.052826
,103.05417,376.26925,278.07916,267.07221,162.0604565
,173.12833,332.24336,248.15945,429.12427,162.0640524
,173.12832,173.11755,198.0883,242.97786,162.0680888
,302.19607,376.26911,151.14354,333.05809,162.0887737
,360.20163,366.24033,220.11695,310.93353,162.0892188
,234.13359,332.24328,265.17454,158.9879,162.0896348
,258.16987,241.14419,190.10658,254.96763,162.1004333
,204.12299,376.26921,379.20564,352.943,162.3000045
,346.22236,301.20101,248.15932,450.92129,162.4194685
,360.20168,331.24752,158.11698,156.98989,162.4696625
,186.11246,348.22958,159.07577,548.89946,162.5217055
,187.14401,283.19101,198.12284,563.18026,162.5398605
,227.17521,376.26914,154.13325,99.00578,162.5464205
,128.10686,491.19247,234.14372,181.00861,162.5646275
,156.10169,314.19684,146.09181,263.01231,162.6378365
,160.13309,331.24748,120.10152,127.00054,162.8126935
,316.21181,374.25349,148.04208,141.01603,162.8490585
,218.13865,374.25353,204.12234,223.01946,162.8493235
,216.12303,361.22097,252.1431,387.02464,162.8494845
,248.22195,285.12585,232.11707,551.03293,162.8497835
,201.1598,285.20658,448.16429,125.04244,162.9368065
,212.12814,283.191,254.13771,249.1527,163.0162435
,416.22806,209.15425,218.13791,185.08123,163.0166794
,240.12055,253.14445,160.13264,241.18074,163.0170778
,188.12772,331.24746,448.16446,331.2477,163.0213295
,109.10107,157.08608,335.07257,154.96484,163.0269471
,124.11196,185.0812,360.14869,354.9412,163.030313
,142.12241,303.14407,176.10238,,163.0318874
,210.10963,283.19096,255.14424,,163.0395075
,226.0835,356.24264,94.92926,,163.0480609
,375.24831,358.25842,176.87459,,163.0500839
,153.09071,287.22228,290.88234,,163.0633213
,172.12369,331.2474,372.82766,,163.0682805
,429.16749,293.17556,138.93767,,163.0840261
,171.1014,346.21391,136.93965,,163.0844586
,228.1226,356.24248,234.91611,,163.0848662
,244.1543,356.24267,332.89268,,163.0925671
,258.16994,285.20675,430.86933,,163.0956841
,244.15426,349.21271,528.84598,,163.1740435
