NMR_weight,RPPOS_mz,RPNEG_mz,HPOS_mz,HNEG_mz,FTICR_NeutralMass
180.1559,86.0601,163.04,86.05973,103.04,148.4396455
180.1559,146.092,157.036,146.09157,102.056,148.448422
117.1463,130.05,187.097,184.0598,121.029,148.4632665
60.052,204.123,129.019,147.07557,182.045,148.7726855
182.1718,136.062,191.019,277.21525,173.008,148.7757815
342.2965,268.104,195.051,204.12199,201.124,148.7846468
150.1299,131.129,173.104,203.13822,157.036,148.7996126
62.0678,187.108,131.046,189.12249,311.295,148.8058807
147.1293,118.086,132.03,138.05451,129.019,148.8189921
105.0926,90.055,146.045,118.08561,191.019,148.9746575
89.0932,175.119,145.061,232.15322,88.04,149.1117145
46.0254,134.045,133.014,244.09157,131.046,149.1176375
103.1198,162.112,245.093,112.05009,132.03,149.1317325
132.1179,148.06,104.035,268.1026,146.045,149.4540255
342.2965,147.076,117.019,90.05465,145.061,149.4721865
117.1463,156.077,218.103,134.04414,154.062,149.4827656
133.1027,132.102,191.056,162.11157,130.087,149.4846739
146.1445,147.113,165.04,176.10223,89.0241,149.4910578
134.0874,150.058,181.071,148.05959,133.014,149.4952447
131.1729,166.086,341.107,132.10124,164.071,149.5004735
76.0514,116.071,195.05,150.05763,114.056,149.5044005
90.0779,106.05,207.051,166.08552,104.035,149.8021935
131.1729,182.081,353.088,116.07003,116.071,149.8335315
192.1235,247.129,193.071,106.04943,135.029,150.0462365
104.1708,258.11,177.04,182.0804,277.217,150.1542875
168.1467,303.086,191.056,143.0808,195.051,150.1570998
181.1885,137.046,165.04,258.10872,129.019,150.1825241
138.1207,189.123,267.072,152.05594,105.019,150.2026175
144.2114,274.274,147.066,284.09744,255.233,150.5374575
116.0722,220.118,191.019,127.04968,217.119,150.6989555
119.1192,130.086,311.222,229.15356,279.233,150.7154435
104.0615,235.165,311.222,276.11779,227.202,150.8647478
165.1891,527.158,111.008,189.12258,122.024,151.3873239
76.0944,217.155,225.061,176.09091,157.123,151.5432295
