ID,Group1_R1DNO1_1_root,Group1_R1DNO1_2_root,group1_R2DNO1_1_root,Group1_R2DNO1_2_root,Group1_R3DNO1_1_root,Group1_R3DNO1_2_root,Group2_R3EIC1_1_root,Group2_R3EIC1_2_root,Group2_R1EIC1_1_root,Group2_R1EIC1_2_root,Group2_R2EIC1_1_root,Group2_R2EIC1_2_root,Group3_R1EIO1_1_root,Group3_R1EIO1_2_root,Group3_R2EIO1_1_root,Group3_R2EIO1_2_root,Group3_R3EIO1_1_root_bad,Group3_R3EIO1_2_root_bad,Group4_R3DNC1_1_root, Group4_R3DNC1_2_root,Group4_R1DNC1_1_root,Group4_R1DNC1_2_root, Group4_R2DNC1_1_root,Group4_R2DNC1_2_root
APEBA001,5088.86035,5280.44141,3054,3116.38428,37847.3906,32956.0586,4666.77588,12943.8125,17137.1289,25743.3594,4475.56494,4120.38037,13345.7637,23583.1953,8362.18652,9278.45605,18035.1816,10215.2754,1229.19568,1426.96472,1712.10999,4049.0835,4218.54297,7516.69678
APEBA002,21057.6504,22593.541,11034.792,14488.2246,23899.7305,23838.2461,34278.4727,56019.3711,48371.0039,46956.668,60754.2148,64553.0391,52615.0078,60806.6289,48826.2031,26493.2559,8220.8916,9383.22852,10820.3428,21094.834,10752.5869,13048.5693,54874.6523,72692.625
APEBA003,87.6216888,77.2065811,0,111.093712,232.832596,147.511368,27.3296185,143.542511,26.5362377,8.49239159,115.858124,31.7816772,10.7768221,106.671364,22.1950607,65.250267,43.4871445,22.0997372,0,85.1327667,44.6773529,85.8443451,195.082581,44.5565681
APEBA004,1571.69653,1305.13269,870.497131,1372.77209,3009.89673,2567.34668,960.038818,1978.41284,664.097839,721.142822,1353.64197,1019.22968,1076.21362,1107.69153,924.320068,994.58783,540.397156,499.174774,1609.89893,3404.02368,796.123962,899.584839,2287.96216,1482.36682
APEBA005,2585.17676,3177.25952,1682.87122,2414.46021,3105.96851,3358.375,6214.0415,10119.0918,7773.89648,7500.43604,9397.41309,10741.5234,8481.84766,10160.7676,8044.8374,4194.19141,486.925903,533.624023,816.063721,2052.39868,1272.00415,1685.42383,10957.5674,13373.7031
APEBA006,0,0,1.94290626,19.9808369,338.373779,306.261749,15.859726,37.3728294,814.184753,604.25824,580.946411,612.844666,120.878662,100.318741,179.234634,109.861977,42.5322266,95.4107285,8.43373203,9.2535038,35.5628471,52.6261063,92.4602585,110.049492
APEBA007,87.5072708,0,41.474781,8.58996773,746.865173,363.022278,6.26469517,90.6222839,0,0,7.26725817,14.8244171,5.78492069,69.3322601,2.60455847,0,0,4.51147079,26.85532,225.480209,0,25.3670197,20.5514679,13.5401316
APEBA008,65.0153961,88.2011642,218.383896,347.966766,464.847168,336.623962,382.819061,525.074219,191.789597,328.378479,267.19873,155.254349,183.832047,126.298691,201.723007,228.151962,651.723816,119.322159,164.0802,195.198959,174.882095,241.891464,717.91394,360.877411
APEBA009,359.298584,213.596176,287.469818,369.11203,1075.75964,854.809387,497.206787,646.453796,246.781708,255.794006,251.741455,286.546906,320.627686,307.594269,222.630539,322.121063,104.4468,134.080215,402.648651,951.671448,242.602997,230.161026,550.769531,778.968933
APEBA010,16957.9785,19156.166,11493.9434,16954.0859,22295.6035,20004.543,14054.1387,15594.2559,8178.43359,7876.58984,14435.3154,12786.2129,11393.6758,9197.1084,9658.71582,8603.52832,2752.37988,2051.32227,3570.85791,6395.9502,3501.96313,3452.95923,23598.2109,16797.0078
APEBA011,797.240967,717.095032,694.36145,1098.57153,2547.78516,2925.88428,1111.77576,1656.67371,3601.26099,2462.26099,2192.45386,2445.26196,1958.53198,1720.37146,2652.16968,2386.81152,55.784214,222.474823,472.618958,970.303223,132.338623,190.673279,1290.27625,2128.86719
APEBA012,16391.8613,18573.0176,10910.0742,16056.4219,21283.9434,19031.6426,13602.2344,14975.5713,7851.97314,7802.00342,14987.0547,12645.4775,10882.6494,8632.95215,9245.17871,7770.65576,2679.42529,1928.88794,3356.25952,5916.86914,3256.41943,3238.61475,22970.498,15937.7188
APEBA013,87.9351349,54.1057396,37.4165993,87.1744156,409.554901,423.685669,307.956238,516.19043,27.5596409,14.4695978,41.7256241,54.4297714,35.7308159,60.4294815,41.0301781,90.0761414,0,8.78420353,9.46992207,141.802811,16.5235615,32.9566612,150.001938,124.818489
APEBA014,44.9508667,0,106.086067,56.2146492,67.6400833,55.0033684,73.976593,52.9159279,15.3302326,89.002327,157.437836,54.9283524,102.280815,93.0801697,96.2768936,165.210297,0,0,0,0,8.77214909,0.209900364,116.809387,24.8367844
