ID,Group1_R1DNO1_1_root,Group1_R1DNO1_2_root,Group1_R2DNO1_1_root,Group1_R2DNO1_2_root,Group1_R3DNO1_1_root,Group1_R3DNO1_1_root,Group2_R3EIC1_1_root,Group2_R3EIC1_2_root,Group2_R1EIC1_1_root_bad,Group2_R1EIC1_2_root_bad,Group2_R2EIC1_1_root,Group2_R2EIC1_2_root,Group3_R1EIO1_1_root,Group3_R1EIO1_2_root,Group3_R2EIO1_1_root,Group3_R2EIO1_2_root,Group3_R3EIO1_1_root_bad,Group3_R3EIO1_2_bad,Group4_R3DNC1_1_root,Group4_R3DNC1_2_root,Group4_R1DNC1_1_root,Group4_R1DNC1_2_root,Group4_R2DNC1_1_root,Group4_R2DNC1_2_root
DHB001,574.037903,863.505066,106.364647,85.4056625,514.385315,225.580902,16262.0938,16482.4434,7124.41602,11922.6201,11504.252,13373.1104,4922.94775,6751.34521,4096.6167,9227.26855,246.941833,2422.2085,0,16.4778957,290.079346,4995.85986,6665.91895,8601.74414
DHB002,478.926941,258.369171,441.070068,552.609985,10.5715256,20.8075924,47.7981873,115.848518,17.219408,0,407.249481,994.552429,249.442474,212.459839,86.6744766,316.439941,0,92.3763962,39.7941246,40.6164093,118.055588,2252.12988,244.001816,1195.32251
DHB003,2806.67749,3708.40967,1439.12134,3300.46045,6621.14258,3131.72217,2554.48706,2499.34082,8996.87402,12484.459,3912.09326,6443.98584,4927.85107,7148.60889,8722.91895,8939.51758,5374.71924,9467.24316,3267.18237,5642.18115,8219.00879,8178.61621,3520.56714,8102.22559
DHB004,114907.461,181430.266,42902.1094,31035.5137,76595.7813,73521.0156,729462.25,414205.75,445281.719,648067.5,482977.219,540655.063,244828.453,275702.469,120671.188,280937.063,77359.6641,109983.289,4448.80566,6806.92041,44215.9141,175410.313,379239.469,277486.344
DHB005,14.8405666,10.7006998,0,16.3420925,24.0099449,114.227409,0,18.0322056,20.2710438,0,0,0,17.7566528,17.1889153,22.8131275,56.2318306,0,0,0,47.9027519,1684.17615,1941.05981,0,20.7521114
DHB006,0,0,62.4495659,0,44.4910927,0,0,61.6158562,42.5821915,0,0,163.653824,9.27232075,4.12031984,37.3841782,8.81110954,0,0,499.591675,494.191162,50.502758,183.383484,88.0077515,120.555832
DHB007,177.121185,23.879509,0,10.2394438,23.0743504,115.775826,0,78.5865784,29.2752056,0,1178.73303,1509.82568,518.94281,192.015686,230.315491,183.985184,10.6134329,0,0,16.9164238,12.1626425,107.934311,26.1894932,89.4765625
DHB008,3428.65112,7793.01758,21910.3125,18036.9043,5481.54297,4594.91113,0,160.33931,210.781677,742.503601,15109.3867,17303.6992,4129.22803,5431.28271,5478.00684,9722.56348,3057.86426,4030.8772,15.0044289,43.9149361,2370.52271,5493.12598,765.330566,2411.86548
DHB009,38.1327019,81.1238327,66.5669022,38.0274658,520.099304,234.206055,0,470.666382,7.60605955,5.84152699,0,69.2543564,0,4.86070204,40.7538071,23.7160492,0,15.8468695,41.3637657,159.445953,29.4274006,2863.77686,831.027222,1312.83801
DHB010,468.223541,108.51709,194.371017,407.790527,5.56217813,0,0,185.526489,0,0,853.046509,795.208679,1008.85754,919.376953,181.315613,450.210083,13.7731543,80.4113235,0,34.3953514,28.1350079,991.828125,81.8502197,600.409424
