ID,Group1_R1DNO1_1_root,Group1_R1DNO1_2_root,group1_R2DNO1_1_root,Group1_R2DNO1_2_root,Group1_R3DNO1_1_root,Group1_R3DNO1_2_root,Group2_R3EIC1_1_root,Group2_R3EIC1_2_root,Group2_R1EIC1_1_root,Group2_R1EIC1_2_root,Group2_R2EIC1_1_root,Group2_R2EIC1_2_root,Group3_R1EIO1_1_root,Group3_R1EIO1_2_root,Group3_R2EIO1_1_root,Group3_R2EIO1_2_root,Group3_R3EIO1_1_root_bad,Group3_R3EIO1_2_root_bad,Group4_R3DNC1_1_root, Group4_R3DNC1_2_root,Group4_R1DNC1_1_root,Group4_R1DNC1_2_root, Group4_R2DNC1_1_root,Group4_R2DNC1_2_root
NEDC001,12475.8721,11480.6826,11235.2363,5251.45459,6614.43457,10762.2832,2075.49561,1456.50488,3220.21899,3086.41284,10600.9287,3650.427,737.439636,1610.8999,28.7301445,456.864502,1475.91675,548.167053,1569.81311,73.7036209,3208.68384,2666.06519,29.8544655,56.4980164
NEDC002,3763.47095,5230.10547,950.718445,582.779541,10984.0898,15603.957,7070.91357,4694.03271,6109.03467,5806.65186,8392.70605,3875.24219,11938.4678,14501.2148,13582.5977,15190.874,3628.729,2661.77734,1010.00336,44.7228928,1692.24976,1324.46521,14.3118105,0
NEDC003,456.870667,671.108337,1024.5293,1246.53247,673.840271,625.638184,35.2923546,53.3370743,38.8404312,0,1033.0437,774.085571,57.7951279,46.8419914,0,41.7407455,9.26337719,0,1755.50476,1379.22717,382.433258,211.201401,2439.8689,2757.45386
NEDC004,125921.453,174545.609,232424.609,196553.125,109494.961,153669.891,94667.0313,79241.6406,69932.8125,72113.3828,137373.188,93071.2969,113411.453,92674.1484,131877.484,119066.336,67417.2969,66740.2188,127960.844,134177.359,123974.828,103195.031,120188.172,93463.9844
NEDC005,6916.73145,8282.67188,6519.60205,5231.88428,5278.23633,8722.79297,3472.59814,2360.68774,6685.03174,6616.12012,8783.66504,5328.86035,2879.802,3577.02954,1062.78113,1718.8136,2789.4668,2151.24121,2612.84399,900.949219,3521.61597,2910.57129,1067.172,925.441772
NEDC006,13902.4219,18273.8301,59.6708679,55.8690224,15868.0049,24073.5527,39503.1836,26232.1172,36952.875,39372.418,7412.05957,4441.43359,25482.1172,26226.2871,32886.6172,37608.4141,7703.15771,8174.40332,191.97789,52.4998245,4726.6748,3015.22217,0,23.638031
NEDC007,25752.8887,32439.5977,556.277771,635.710144,13802.1982,15235.708,7911.55078,5163.8833,16650.5742,16615.627,11233.7305,6475.47363,14942.8496,16912.0059,6408.5293,7006.90137,13202.7656,11879.1826,3674.74243,1249.90149,11162.9707,9356.9834,112.332893,135.136581
NEDC008,59844.6406,70450.3047,26421.6406,21793.3184,136581,209397.344,97354.3047,70583.8906,81218.0625,79173.9922,99943.0078,59130.7617,164319.641,200260.234,189091.469,219879.328,44920.5977,37627.8164,22156.2051,6326.67822,27584.6797,22166.5918,8728.97559,8155.30225
NEDC009,3819.85205,6090.63867,11053.7168,7655.91064,8561.24805,8582.54297,432.090149,922.874756,8116.58838,6882.86377,5764.34277,3082.89648,4244.25098,5711.5918,2124.9209,3785.125,3272.2561,2167.64819,6436.43359,3658.33789,2764.98291,1766.32764,18099.832,15958.5127
NEDC010,363.280945,1481.1355,4084.06665,2951.45508,2104.85693,2315.9436,2801.32959,1570.84143,18358.2539,17948.3789,1041.37524,509.886963,5121.77002,5666.87549,8409.2793,11430.6201,4603.83008,3544.15015,1481.5033,712.650879,658.775146,456.411346,9478.77148,7959.12695
NEDC011,241.113571,491.362396,262.716217,59.4275665,495.818817,173.459198,139.074387,217.539246,403.786713,86.2316818,238.324799,292.880798,216.29155,196.496155,9.51723385,26.2271404,76.8598022,41.6638794,865.836365,470.651306,156.139969,79.8697433,302.113647,341.973907
NEDC012,154324.641,212655.141,420440,337637.938,315071.719,258706.094,276001.313,198621.875,234390.188,196449.766,290274.844,247359.156,335079.844,294164.375,265915.188,229616.188,275472.688,232567.313,393004.563,376498.094,402315.438,240962.922,645682.563,519126.75
NEDC013,10899.1777,14969.1465,674.369019,381.94809,19735.7461,22686.3809,14506.2832,9636.19727,20527.1465,20387.8887,17556.5859,9396.55762,24148.1836,25088.4668,19517.1758,21663.1289,9268.38477,8192.66113,1927.65588,878.773315,3504.64502,2684.14673,2303.05591,3215.56836
NEDC014,16108.7969,13648.4746,6979.34766,4787.37402,15748.2373,9972.66504,3787.81641,2009.8269,5352.25732,4842.42676,5789.37549,2617.17896,4643.59961,4907.23633,3839.55713,4135.43164,5073.67041,3722.2373,7810.65771,3972.21899,3312.82202,2143.57739,3383.37671,5233.10498
NEDC015,25855.748,27029.0508,24483.2891,14798.0293,40367.9258,41400.6875,14121.7295,9480.19336,17959.248,16061.0889,22560.3418,11720.4121,7398.60254,9834.97266,3475.51123,3481.08936,10398.374,7289.08789,6256.79443,2068.4519,9779.41699,7651.40283,4031.15747,2515.93164
NEDC016,8417.77051,9939.92383,20099.877,13327.5205,2813.40576,2800.58691,350.088654,337.701721,15508.4521,13404.7734,6443.69482,2836.71436,8373.49414,10954.3711,3017.29443,7545.52344,4301.42383,2919.2417,8776.39258,3087.94995,3663.77344,2248.78809,22600.3359,19445.082
NEDC017,9857.53613,17393.7988,29771.3691,21310.6113,12898.6816,13361.334,7741.99658,4302.37646,18362.3242,14708.6045,21109.8145,8721.44141,13309.3037,17876.6055,495.290497,2208.80029,3820.50928,2642.22266,11013.2979,1576.16113,4822.98779,2954.28662,50.6844673,211.697968
NEDC018,6755.60303,9606.80371,582.906189,280.283813,2550.00024,4027.10254,8661.56348,7114.59863,9284.37012,8652.62695,1716.92676,829.735168,4441.24902,5027.93652,9430.80273,14350.459,2637.82617,1957.25854,1725.79358,1136.89587,1345.02136,511.174774,136.980362,398.704834
NEDC019,7405.92822,9838.63965,7253.43359,3096.06152,8122.02148,14053.6143,1582.39331,1259.18677,2722.0415,2428.6897,24872.9141,10912.0957,1409.13879,1928.25684,1024.80115,999.428589,1548.20435,959.934509,1001.50922,385.788757,1966.50659,1669.76929,4748.82959,3320.88623
NEDC020,2488.74219,4734.55713,8.38958836,17.9161491,1858.50916,4422.62939,21059.3613,16311.3447,14734.709,14458.3564,5237.37256,3556.1731,7065.479,5524.4873,24372.9609,28075.248,4065.22998,4072.5813,19425.1992,11848.0615,11164.8271,9250.57617,22.513176,34.1458588
NEDC021,8886.44141,11026.292,18531.0957,12392.8604,10237.1318,13843.9531,5802.04346,4726.16992,16275.0664,16512.666,12564.9863,6669.71777,10565.2383,11104.2969,6777.78711,7401.854,8362.52246,7548.34814,15292.626,7420.33301,13208.1025,10969.4355,1882.53064,2261.92017
NEDC022,56.2870064,252.972534,3342.30859,2041.11096,4119.1377,4059.79443,372.352997,627.473206,529.043579,413.515808,676.9375,394.035339,731.639709,704.604492,52.281002,376.971558,196.466919,157.380173,1781.53784,1727.64539,519.336792,289.35849,10866.4385,9920.67578
NEDC023,8071.52393,11418.834,3360.28979,1152.13623,3065.66602,2579.17017,16.8924828,36.0832596,3450.896,2907.8374,16572.8887,6706.91113,64.1053162,504.318146,38.2538185,23.52141,313.194733,145.884201,11696.7246,7315.05322,5490.32324,4481.08105,53.3873405,0
NEDC024,8366.65039,10714.4053,24860.0234,17467.6816,4894.82031,5494.14893,502.31189,627.034058,10491.0879,9179.2959,5669.96289,2843.58057,4223.98682,7029.38965,1570.45972,2933.55103,1839.52234,1604.9856,6059.47266,2523.26343,3537.23804,2482.05518,23726.5059,19632.5195
NEDC025,1392.52026,2877.82666,5517.16064,4417.89844,10245.8643,8732.72363,1041.79639,1876.11267,3224.46069,2785.31494,2827.27393,2113.23535,2733.7793,3371.26807,1274.57959,2324.29883,1487.47693,1348.40161,4413.05029,2543.05396,2324.29883,1360.17163,24452.2207,19506.2148
NEDC026,14411.8604,17544.1016,13569.5654,9778.4082,17479.8965,17789.9766,9331.72461,6432.32959,8882.47559,8188.09277,8225.60352,4850.15674,10251.2646,11562.0625,9228.11621,10620.2461,5711.55859,4755.94336,2610.67383,2657.83838,2315.69824,1668.08484,23912.2227,18588.4844
NEDC027,823.989563,2526.12207,7312.50342,5329.29443,1118.96326,1098.75989,129.200165,499.838654,4110.79541,3753.94067,2372.40942,1005.68958,3185.80396,3512.48438,1392.40149,3322.6311,941.265015,878.567505,2196.91504,977.373474,1410.83325,998.108032,10599.2979,8933.21094
NEDC028,0,45.4881287,101.322113,5.90863466,6.70776892,6.26973104,2067.10889,1539.60217,38064.6016,29451.709,50.0511284,0,4114.99365,5995.2583,1014.93585,2375.1001,4033.3186,1926.04858,20.7470665,16.3458614,879.139404,9.86646748,0,0
NEDC029,6783.79053,10680.6953,18154.2734,12680.8955,9406.98535,8541.21289,1210.86169,1084.60291,35831.8008,31328.6836,7480.3916,3913.31299,17307.791,20140.7402,9190.74414,16771.2324,9899.50098,7340.12793,14676.6406,7152.95947,7282.41797,5300.03027,48948.4688,35989.2656
NEDC030,887.776855,1288.47693,667.902161,117.976578,1213.93726,316.492889,198.301971,254.373032,101.699631,0,448.666046,515.084412,101.183594,59.9209404,0,48.1482353,32.3430061,6.07559252,955.845764,1613.05835,536.334045,257.758972,42.1067848,54.6441536
NEDC031,880.111572,2188.0354,12456.0283,9444.18945,5336.98145,6171.39795,6519.26367,3405.72192,19150.8613,15766.9697,10870.1357,8131.96143,21817.0449,21954.0645,10009.5186,9725.40039,6714.66064,4897.62988,9692.94531,9602.56543,15327.8828,11360.7969,7956.4043,6281.2749
NEDC032,170.660995,568.089783,9998.50293,6942.83887,960.619385,1713.86023,1379.50769,721.576416,5466.9165,4134.74316,5959.59473,3467.79712,6281.40283,6245.42383,2554.27002,2449.26978,1220.32629,872.392822,3983.38477,2890.07642,5350.84229,3865.71509,915.399048,793.244934
NEDC033,24255.7734,24426.6641,23658.4824,12565.3457,15893.7422,26234.5039,27825.0703,20514.2129,45245.6992,42372.1992,30092.1289,14966.2373,10654.9258,14073.4941,5317.11279,7252.28564,21993.3535,13857.7793,4690.9248,1121.9353,9091.25684,7563.69922,377.615204,286.222473
NEDC034,615.639526,1582.4137,46.8073769,0,6817.73828,7446.56543,692.821716,563.036377,2422.24512,2222.48901,103.377075,69.6113663,4760.75635,3790.53516,1739.34644,2814.61353,452.855042,402.129974,649.003723,505.288208,118.601585,61.8047791,102.19207,113.741798
NEDC035,49151.5391,61522.957,28824.4141,18512.3145,34864.7617,68912.8203,13599.168,10878.0186,19340.375,18570.8027,117730.406,63780.957,11066.5596,11831.0703,14636.0723,11233.4043,12640.9111,10782.5215,7599.29541,4230.74023,12163.3662,10479.8047,4035.7334,3209.81445
NEDC036,3761.97583,6437.68994,12146.207,8312.12891,3350.15356,3365.14526,329.957153,519.093628,7059.44336,6280.58154,4860.76758,2456.26733,5057.51123,5361.15088,1664.98804,4358.01514,2355.22144,1880.97693,6840.74805,4054.58325,3014.58472,2157.86548,12748.8096,10940.29
NEDC037,343.086517,987.771606,4871.97217,3126.76343,5492.18213,5315.24756,367.608765,754.653015,778.083923,956.575073,1787.29834,1024.97668,985.042114,1075.39075,334.89035,855.031067,334.782623,270.973206,3000.59375,2582.25879,1088.1488,664.130798,15786.957,13621.8584
NEDC038,4071.25464,5749.86719,11152.793,7746.47217,1446.70068,1216.61792,161.657196,226.371933,8581.30273,7202.40527,3411.40405,1384.02551,4384.22266,5829.37305,1958.00134,4555.13916,1861.07458,1346.39441,5106.49512,2426.70288,2244.01489,1597.9469,15569.7637,13385.0078
NEDC039,1509.05566,3945.68726,9248.28027,6411.55566,5997.59277,5369.18408,502.009552,732.367859,5671.55078,5385.01025,3870.76733,1949.59631,3960.34277,4807.34521,1955.04883,3584.98901,1800.89514,1364.36914,3871.96655,2978.4231,2106.75903,1419.79456,20015.0273,16525.4043
NEDC040,6649.84619,8964.33594,11631.0859,7925.82813,10208.5762,11356.6074,5961.60498,4003.40137,8369.19141,8060.56543,8436.65332,4035.98071,5767.05371,6444.56348,5832.03076,6899.71875,4448.83398,4223.74561,4521.51953,2195.76392,5335.28809,4553.10596,138.133408,206.357651
NEDC041,136.404968,617.222595,793.873718,713.809143,16746.0039,15824.8086,332.695587,500.404388,2778.32153,2498.73853,330.224823,236.791519,1447.36511,1345.35132,372.35144,977.180969,645.717224,887.513489,1176.203,963.444214,321.715088,210.974854,32609.3008,22994.5313
NEDC042,4301.96143,6731.52734,12031.124,9019.70313,944.391296,1097.10315,220.963959,284.526794,7827.0332,7196.93213,3487.43237,1557.5968,5283.37842,6573.9209,3749.85376,7255.44385,2343.25928,1794.26343,3197.11792,1505.19873,2109.36987,1535.5752,13571.8604,9760.11133
NEDC043,0,25.5100384,0,6.09678698,118.183273,87.5554428,1568.45801,946.208801,14908.8643,14537.9121,0,0,2853.63208,3166.32739,7801.51904,10033.5693,2384.35498,2205.45923,0,0,3.13993526,2.4017427,488.579712,422.99762
NEDC044,25.3282547,172.042068,507.687988,476.247589,1775.29553,1497.12036,102.906021,157.73201,1774.51611,1686.2738,77.8034973,11.8919487,960.468201,1071.65381,404.75766,1004.75665,387.30307,310.536224,311.907837,221.874405,238.531052,128.718246,16170.7207,10913.3057
NEDC045,81.48246,323.708954,2385.39307,1342.94897,1689.04456,1548.74841,275.349792,427.405823,243.781357,152.28537,557.475586,436.829956,202.55368,135.840714,95.8577499,153.38121,92.9647446,107.35218,1712.54077,1600.29419,668.984009,385.360535,7622.97021,6875.65283
NEDC046,24.7628117,116.330971,279.792511,236.923843,3850.91772,3529.51538,278.49939,510.90155,0,0,28.1554413,117.0718,143.099533,54.9804726,9.94546413,29.142746,58.3494148,37.2899513,501.311615,946.959229,135.954468,96.9322739,10377.0371,9240.02344
NEDC047,1514595.38,1435650.13,1176195.88,749803.938,866490.75,1521807.88,565123.563,444951.25,741547.875,704351.688,1293200.5,642713.313,233846.188,336423.188,105705.406,146279.25,367300.281,235839.469,292321.688,67684.9375,600323.563,492197.969,16567.5547,20194.9453
NEDC048,262.448761,671.07196,3957.25391,2866.57227,6758.90967,6122.51074,264.970062,416.498535,1282.8739,918.99408,1065.14343,599.123108,996.768005,1021.20428,229.726501,961.494385,426.464325,261.518585,1830.14722,1694.96667,702.931702,467.991119,16586.4727,14466.6357
NEDC049,18941.4707,24250.1719,18749.2969,12901.7832,40224.9258,66214.7813,1427.42578,836.207825,10014.3486,9409.92773,37030.3555,19886.2598,6351.62744,7606.69385,5313.93604,4263.25049,4454.23193,3883.0271,11662.3428,7037.60254,19429.3086,14749.3691,928.619507,525.442627
NEDC050,18476.2207,22279.998,12417.3506,9957.9248,15340.6016,16107.4717,10188.1807,7514.23877,9545.45898,8826.69824,10782.166,5757.73438,6743.2334,7689.85742,9564.62695,10656.4141,8071.93945,6439.74023,7372.22217,5941.31934,5664.74316,4200.57324,13825.4531,11648.5508
NEDC051,6808.27881,9760.21484,14084.0967,10181.6133,3974.35718,3589.69751,417.986359,603.408691,10147.8916,8824.94336,6200.28955,3179.92725,6264.57666,7795.73877,2202.56177,5317.95557,3336.33154,2290.26221,5669.73193,3183.28638,2733.10327,1958.70129,22409.3652,18413.4043
NEDC052,792.413513,1662.9906,2932.15137,2451.07202,3897.26416,3758.38208,206.416763,278.756927,3615.62427,3279.85327,1469.29077,722.034912,1653.76221,2233.15039,533.635132,1450.4751,750.223755,465.695648,1942.5863,1167.91211,788.433655,738.157166,15094.3711,11745.2393
NEDC053,77467.5547,84615.7109,62950.3555,41355.5742,60667.3789,47474.1172,20029.1523,15037.8779,28056.1914,27406.543,55607.3633,29253.1484,16440.9844,21683.6309,24677.1719,31705.1445,20842.0293,16600.1621,11442.0576,10847.4707,21836.5469,16978.9414,35624.1211,25216.5586
NEDC054,4684.93896,6238.20459,8521.89844,5440.00635,595.545593,449.681549,23.7206535,73.7312088,7416.62598,6716.35938,2984.39087,1056.24597,3628.52173,5514.0542,2224.28833,5292.02832,2210.61011,1426.35291,3905.74365,1601.24829,1663.09802,1294.26074,10445.7998,6972.89551
NEDC055,8.5039463,60.3313141,0,4.14081144,5265.23096,5654.54102,35.749588,86.4205933,0,0,0,16.6587734,36.0263939,6.72241592,0,15.6679602,15.4965677,18.9524632,84.0152283,112.192139,11.603425,16.9492912,11033.459,8711.98633
NEDC056,5614.94385,8696.54688,8717.43848,9105.10938,6362.65723,10240.2002,7205.59814,5871.76953,15672.5664,16639.75,7211.73535,5546.69971,10939.7002,9023.62988,8327.7373,8063.00977,9000.8125,10078.6875,11453.1875,5347.85547,9847.62988,8527.4873,199.207245,507.16745
NEDC057,2951.59229,4279.70166,6016.19824,4047.95728,2098.93286,1951.86499,391.938629,252.897995,25606.0723,22576.2402,2082.50244,824.0755,9171.42578,11996.7656,3287.27466,6528.15771,5435.84521,3604.25879,3030.59131,1534.38916,2431.60693,1879.32654,20818.7754,13953.6484
