SampleID,plant,canopy,Block,rep#
Z1,ERLE,OPEN,1,1
Z2,ERLE,OPEN,1,2
Z3,ERLE,OPEN,1,3
Z4,ERLE,OPEN,2,1
Z5,ERLE,OPEN,2,2
Z6,ERLE,OPEN,2,3
Z7,ERLE,OPEN,3,1
Z8,ERLE,OPEN,3,2
Z9,ERLE,OPEN,3,3
Z10,DICA,OPEN,1,1
Z11,DICA,OPEN,1,2
Z12,DICA,OPEN,1,3
Z13,DICA,OPEN,2,1
Z14,DICA,OPEN,2,2
Z15,DICA,OPEN,2,3
Z16,DICA,OPEN,3,1
Z17,DICA,OPEN,3,2
Z18,DICA,OPEN,3,3
Z19,ERLE,CLOSE,1,1
Z20,ERLE,CLOSE,1,2
Z21,ERLE,CLOSE,1,3
Z22,ERLE,CLOSE,2,1
Z23,ERLE,CLOSE,2,2
Z24,ERLE,CLOSE,2,3
Z25,ERLE,CLOSE,3,1
Z26,ERLE,CLOSE,3,2
Z27,ERLE,CLOSE,3,3
Z28,DICA,CLOSE,1,1
Z29,DICA,CLOSE,1,2
Z30,DICA,CLOSE,1,3
Z31,DICA,CLOSE,2,1
Z32,DICA,CLOSE,2,2
Z33,DICA,CLOSE,2,3
Z34,DICA,CLOSE,3,1
Z35,DICA,CLOSE,3,2
Z36,DICA,CLOSE,3,3
