id	molecularFormula	adduct	precursorFormula	NPC.pathway	NPC.pathway.Probability	NPC.superclass	NPC.superclass.Probability	NPC.class	NPC.class.Probability	ClassyFire.most.specific.class	ClassyFire.most.specific.class.Probability	ClassyFire.level.5	ClassyFire.level.5.Probability	ClassyFire.subclass	ClassyFire.subclass.Probability	ClassyFire.class	ClassyFire.class.Probability	ClassyFire.superclass	ClassyFire.superclass.probability	ClassyFire.all.classifications	compoundID
1_Hneg_rhizo_FT_117.01873_4.508_hneg	C4H6O4	[M - H]-	C4H6O4	Fatty acids	0.658488691	Fatty Acids and Conjugates	0.766212225	Dicarboxylic acids	0.705021441	Dicarboxylic acids and derivatives	0.501351416			Dicarboxylic acids and derivatives	0.501351416	Carboxylic acids and derivatives	0.990910828	Organic acids and derivatives	0.996360719	Organic compounds; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Dicarboxylic acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Secondary alcohols; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	FT_117.01873_4.508_hneg
2_Hneg_rhizo_FT_161.04483_4.366_hneg	C6H10O5	[M - H]-	C6H10O5	Carbohydrates	0.521883249	Phenolic acids (C6-C1)	0.508589089	Monosaccharides	0.463360608	Secondary alcohols	0.909673512	Secondary alcohols	0.909673512	Alcohols and polyols	0.979206681	Organooxygen compounds	0.999887109	Organic oxygen compounds	0.999726117	Organic compounds; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Secondary alcohols; Carbonyl compounds; Polyols; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	FT_161.04483_4.366_hneg
4_Hneg_rhizo_FT_149.05995_1.14_hneg	C9H10O2	[M - H]-	C9H10O2	Shikimates and Phenylpropanoids	0.852303147	Phenolic acids (C6-C1)	0.651014864	Simple phenolic acids	0.632346332	Benzene and substituted derivatives	0.998725474					Benzene and substituted derivatives	0.998725474	Benzenoids	0.999856353	Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	FT_149.05995_1.14_hneg
5_Hneg_rhizo_FT_149.06001_1.418_hneg	C9H10O2	[M - H]-	C9H10O2	Shikimates and Phenylpropanoids	0.852303147	Phenolic acids (C6-C1)	0.651014864	Simple phenolic acids	0.632346332	Benzene and substituted derivatives	0.998725474					Benzene and substituted derivatives	0.998725474	Benzenoids	0.999856353	Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	FT_149.06001_1.418_hneg
6_Hneg_rhizo_FT_149.06001_1.547_hneg	C9H10O2	[M - H]-	C9H10O2	Shikimates and Phenylpropanoids	0.852304041	Phenolic acids (C6-C1)	0.651019812	Simple phenolic acids	0.632350445	Benzene and substituted derivatives	0.998725474					Benzene and substituted derivatives	0.998725474	Benzenoids	0.999856353	Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	FT_149.06001_1.547_hneg
7_Hneg_rhizo_FT_285.20686_1.027_hneg	C16H30O4	[M - H]-	C16H30O4	Polyketides	0.503931224	Aromatic polyketides	0.550329804	Carbocyclic fatty acids	0.413957477	Benzene and substituted derivatives	0.993314922					Benzene and substituted derivatives	0.993314922	Benzenoids	0.935749948	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Primary alcohols; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	FT_285.20686_1.027_hneg
8_Hneg_rhizo_FT_158.04505_4.539_hneg	C6H9NO4	[M - H]-	C6H9NO4	Amino acids and Peptides	0.823427677	Small peptides	0.896878719	Aminoacids	0.803981125	Alpha amino acids	0.539114177	Amino acids and derivatives	0.977292657	"Amino acids, peptides, and analogues"	0.977578759	Carboxylic acids and derivatives	0.999732316	Organic acids and derivatives	0.999971986	"Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Pyrrolidines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Pyrrolidine carboxylic acids and derivatives; Alpha amino acids; Pyrrolidine carboxylic acids; Organic oxides; Hydrocarbon derivatives; Proline and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	FT_158.04505_4.539_hneg
9_Hneg_rhizo_FT_242.07806_5.765_hneg	C9H13N3O5	[M - H]-	C9H13N3O5	Carbohydrates	0.95756048	Nucleosides	0.922252715	Pyrimidine nucleos(t)ides	0.906008244	Pyrimidine nucleosides	0.967815757					Pyrimidine nucleosides	0.967815757	"Nucleosides, nucleotides, and analogues"	0.970424235	"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Pyrimidines and pyrimidine derivatives; Alcohols and polyols; Organonitrogen compounds; Primary alcohols; Nucleosides, nucleotides, and analogues; Pyrimidones; Organooxygen compounds; Pyrimidine nucleosides; Aminopyrimidines and derivatives; Diazines; Pentoses; Monosaccharides; Secondary alcohols; Glycosyl compounds; Hydropyrimidines; Glycosylamines; Amines; Primary amines; Tetrahydrofurans; Imidolactams; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	FT_242.07806_5.765_hneg
10_Hneg_rhizo_FT_242.0701_3.464_hneg	C9H14N3O3P	[M - H]-	C9H14N3O3P	Carbohydrates	0.544342458	Nucleosides	0.492767811	Pyrimidine nucleos(t)ides	0.46382606	Aminopyrimidines and derivatives	0.975333095	Aminopyrimidines and derivatives	0.975333095	Pyrimidines and pyrimidine derivatives	0.962799788	Diazines	0.955255091	Organoheterocyclic compounds	0.999769747	Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Organic acids and derivatives; Organonitrogen compounds; Pyrimidones; Organooxygen compounds; Aminopyrimidines and derivatives; Diazines; Hydropyrimidines; Amines; Primary amines; Imidolactams; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	FT_242.0701_3.464_hneg
11_Hneg_rhizo_FT_227.06697_2.112_hneg	C9H12N2O5	[M - H]-	C9H12N2O5	Carbohydrates	0.956360161	Nucleosides	0.91783601	Pyrimidine nucleos(t)ides	0.904697835	Pyrimidine 2'-deoxyribonucleosides	0.977834702			Pyrimidine 2'-deoxyribonucleosides	0.977834702	Pyrimidine nucleosides	0.939406395	"Nucleosides, nucleotides, and analogues"	0.958255827	"Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Alcohols and polyols; Lactams; Organic acids and derivatives; Organonitrogen compounds; Primary alcohols; Nucleosides, nucleotides, and analogues; Pyrimidones; Organooxygen compounds; Organic carbonic acids and derivatives; Pyrimidine nucleosides; Ureas; Diazines; Secondary alcohols; Pyrimidine 2'-deoxyribonucleosides; Hydropyrimidines; Tetrahydrofurans; Vinylogous amides; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	FT_227.06697_2.112_hneg
