id	molecularFormula	adduct	precursorFormula	NPC.pathway	NPC.pathway.Probability	NPC.superclass	NPC.superclass.Probability	NPC.class	NPC.class.Probability	ClassyFire.most.specific.class	ClassyFire.most.specific.class.Probability	ClassyFire.level.5	ClassyFire.level.5.Probability	ClassyFire.subclass	ClassyFire.subclass.Probability	ClassyFire.class	ClassyFire.class.Probability	ClassyFire.superclass	ClassyFire.superclass.probability	ClassyFire.all.classifications	compoundID
11_Hneg_root_FT_387.0252_7.781_HNEG	C6H13N8O8PS	[M - H]-	C6H13N8O8PS	Carbohydrates	0.630899847	Nucleosides	0.591112137	Purine nucleos(t)ides	0.568941534	Glycosylamines	0.55992949	Glycosyl compounds	0.548400342	Carbohydrates and carbohydrate conjugates	0.66100508	Organooxygen compounds	0.99273783	Organic oxygen compounds	0.999899745	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Pyrimidines and pyrimidine derivatives; Imidazoles; Alcohols and polyols; Purines and purine derivatives; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Organic phosphoric acids and derivatives; Azoles; Aminopyrimidines and derivatives; Diazines; Pentoses; Monosaccharides; Secondary alcohols; Imidazopyrimidines; Glycosyl compounds; Glycosylamines; Substituted imidazoles; N-substituted imidazoles; Amines; Primary amines; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	FT_387.0252_7.781_HNEG
12_Hneg_root_FT_293.17591_1.017_HNEG	C17H26O4	[M - H]-	C17H26O4	Polyketides	0.573762119	Aromatic polyketides	0.393833399	Simple aromatic polyketides	0.326076388	Anisoles	0.523974657			Anisoles	0.523974657	Phenol ethers	0.481856346	Benzenoids	0.604552448	Organic compounds; Lipids and lipid-like molecules; Ketones; Alcohols and polyols; Phenols; Anisoles; Organooxygen compounds; Monocarboxylic acids and derivatives; Secondary alcohols; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Fatty Acyls; Organic oxides; Methoxybenzenes; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	FT_293.17591_1.017_HNEG
13_Hneg_root_FT_169.08645_1.013_HNEG	C9H14O3	[M - H]-	C9H14O3	Fatty acids	0.584880829	Fatty Acids and Conjugates	0.591591001	Unsaturated fatty acids	0.672851145	Unsaturated fatty acids	0.551369965	Unsaturated fatty acids	0.551369965	Fatty acids and conjugates	0.592598796	Fatty Acyls	0.58867383	Lipids and lipid-like molecules	0.506504595	Organic compounds; Lipids and lipid-like molecules; Ketones; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Unsaturated fatty acids; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	FT_169.08645_1.013_HNEG
15_Hneg_root_FT_95.97566_4.239_HNEG	H3NO3S	[M - H]-	H3NO3S	Amino acids and Peptides	0.709577858	Small peptides	0.72260797	Aminoacids	0.691947937	Organic sulfuric acids and derivatives	0.736049235					Organic sulfuric acids and derivatives	0.736049235	Organic acids and derivatives	0.990736425	Organic compounds; Organic acids and derivatives; Organonitrogen compounds; Organic sulfuric acids and derivatives; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	FT_95.97566_4.239_HNEG
16_Hneg_root_FT_387.09247_4.407_HNEG	C19H21N2O3PS	[M - H]-	C19H21N2O3PS	Alkaloids	0.804319918	Tryptophan alkaloids	0.597381413	Simple indole alkaloids	0.800063729	Benzazepines	0.596694529					Benzazepines	0.596694529	Organoheterocyclic compounds	0.764417827	Organic compounds; Organoheterocyclic compounds; Sulfamic acid derivatives; Azepines; Organic acids and derivatives; Organonitrogen compounds; Benzazepines; Cyclamates; Organic phosphoric acids and derivatives; Organic sulfuric acids and derivatives; Organic phosphoramides; Benzenoids; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	FT_387.09247_4.407_HNEG
18_Hneg_root_FT_138.96998_7.065_HNEG	C2H4O5S	[M - H]-	C2H4O5S	Fatty acids	0.32693702	Fatty Acids and Conjugates	0.28071931	Dicarboxylic acids	0.28794989	Alkanesulfonic acids	0.966866255	Alkanesulfonic acids and derivatives	0.9582057	Organosulfonic acids and derivatives	0.930006683	Organic sulfonic acids and derivatives	0.929837286	Organic acids and derivatives	0.999998808	Organic compounds; Organosulfur compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organosulfonic acids and derivatives; Organooxygen compounds; Monocarboxylic acids and derivatives; Sulfonyls; Organosulfonic acids; Carboxylic acids; Carbonyl compounds; Alkanesulfonic acids and derivatives; Alkanesulfonic acids; Organic oxides; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organic oxygen compounds; Chemical entities	FT_138.96998_7.065_HNEG
19_Hneg_root_FT_199.03729_4.401_HNEG	C5H13O6P	[M - H]-	C5H13O6P	Carbohydrates	0.661805868	Saccharides	0.837850749	Monosaccharides	0.665510356	Monoalkyl phosphates	0.876205802	Alkyl phosphates	0.950252295	Phosphate esters	0.96472466	Organic phosphoric acids and derivatives	0.971812308	Organic acids and derivatives	0.997683287	Organic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Organic acids and derivatives; Organooxygen compounds; Organic phosphoric acids and derivatives; Phosphate esters; Monosaccharides; Secondary alcohols; Polyols; Alkyl phosphates; Monoalkyl phosphates; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	FT_199.03729_4.401_HNEG
20_Hneg_root_FT_249.00424_4.238_HNEG	C11H6O7	[M - H]-	C11H6O7	Shikimates and Phenylpropanoids	0.649665117	Coumarins	0.665029645	Simple coumarins	0.619604766	Coumarins and derivatives	0.798832297					Coumarins and derivatives	0.798832297	Phenylpropanoids and polyketides	0.760976017	Organic compounds; Organoheterocyclic compounds; Lactones; Pyrans; Benzopyrans; Coumarins and derivatives; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Pyranones and derivatives; Carboxylic acids; Benzenoids; 1-benzopyrans; Organic oxides; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	FT_249.00424_4.238_HNEG
21_Hneg_root_FT_168.98065_7.016_HNEG	C3H6O6S	[M - H]-	C3H6O6S	Fatty acids	0.558615685	Fatty Acids and Conjugates	0.434924513	Dicarboxylic acids	0.347300112	Alkanesulfonic acids	0.945841193	Alkanesulfonic acids and derivatives	0.915854514	Organosulfonic acids and derivatives	0.819327772	Organic sulfonic acids and derivatives	0.818727553	Organic acids and derivatives	0.999989748	Organic compounds; Organosulfur compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organosulfonic acids and derivatives; Organooxygen compounds; Sulfonyls; Organosulfonic acids; Carbonyl compounds; Alkanesulfonic acids and derivatives; Alkanesulfonic acids; Organic oxides; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organic oxygen compounds; Chemical entities	FT_168.98065_7.016_HNEG
22_Hneg_root_FT_168.98065_6.953_HNEG	C3H6O6S	[M - H]-	C3H6O6S	Fatty acids	0.558615685	Fatty Acids and Conjugates	0.434924543	Dicarboxylic acids	0.34730041	Alkanesulfonic acids	0.945841312	Alkanesulfonic acids and derivatives	0.915854514	Organosulfonic acids and derivatives	0.819327772	Organic sulfonic acids and derivatives	0.818727612	Organic acids and derivatives	0.999989748	Organic compounds; Organosulfur compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organosulfonic acids and derivatives; Organooxygen compounds; Sulfonyls; Organosulfonic acids; Carbonyl compounds; Alkanesulfonic acids and derivatives; Alkanesulfonic acids; Organic oxides; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organic oxygen compounds; Chemical entities	FT_168.98065_6.953_HNEG
